reading_id,machine_id,machine_name,department,install_year,age_years,reading_date,pressure_bar,temperature_c,vibration_mm_s,oil_viscosity,cycle_count,maintenance_score,failure_occurred,priority
RD-20725,MCH-006,Packaging Unit B,Logistics,2016,8,2024-12-18,105.99,75.15,3.168,54.71,117222,32,False,LOW
RD-20726,MCH-007,Hydraulic Press #2,Production,2014,10,2024-06-07,72.26,75.58,5.19,39.81,53840,51,False,MEDIUM
RD-20727,MCH-008,Welding Station Alpha,Production,2021,3,2023-08-07,118.44,73.64,4.878,33.99,70698,12,False,LOW
RD-20728,MCH-009,Cooling Circuit Pump,Utilities,2013,11,2024-10-06,103.12,45.56,5.61,48.79,105468,40,False,MEDIUM
RD-20729,MCH-010,Conveyor System Main,Logistics,2016,8,2024-06-13,100.24,61.67,2.594,43.81,136488,32,False,LOW
RD-20730,MCH-001,Pipe Bending Line A,Production,2018,6,2024-07-30,109.97,74.35,5.757,32.81,82206,30,True,LOW
RD-20731,MCH-002,Hydraulic Press #1,Production,2015,9,2024-06-18,150.01,80.65,4.503,48.06,38608,36,False,LOW
RD-20732,MCH-003,CNC Lathe Station 3,Machining,2019,5,2024-07-28,99.0,58.86,3.378,33.03,36290,20,True,LOW
RD-20733,MCH-004,Valve Assembly Robot,Assembly,2020,4,2024-04-21,118.3,70.07,2.428,41.33,47604,16,False,LOW
RD-20734,MCH-005,Quality Test Bench,QA,2017,7,2023-01-16,103.19,69.35,1.147,40.68,28647,28,False,LOW
RD-20735,MCH-006,Packaging Unit B,Logistics,2016,8,2023-06-15,110.15,62.02,4.127,49.55,126747,32,False,LOW
RD-20736,MCH-007,Hydraulic Press #2,Production,2014,10,2024-08-28,112.77,46.73,1.202,53.51,35364,36,False,LOW
RD-20737,MCH-008,Welding Station Alpha,Production,2021,3,2023-08-02,120.36,85.85,4.911,48.74,24090,13,False,LOW
RD-20738,MCH-009,Cooling Circuit Pump,Utilities,2013,11,2023-05-30,111.2,68.34,6.075,49.14,30944,44,False,MEDIUM
RD-20739,MCH-010,Conveyor System Main,Logistics,2016,8,2023-03-02,72.83,80.71,4.112,59.68,106398,45,True,MEDIUM
RD-20740,MCH-001,Pipe Bending Line A,Production,2018,6,2023-12-07,121.58,83.22,7.522,50.15,127812,44,False,MEDIUM
RD-20741,MCH-002,Hydraulic Press #1,Production,2015,9,2024-11-19,125.72,108.78,1.643,41.02,101268,64,True,MEDIUM
RD-20742,MCH-003,CNC Lathe Station 3,Machining,2019,5,2023-02-15,95.97,91.02,1.557,38.16,22080,29,False,LOW
RD-20743,MCH-004,Valve Assembly Robot,Assembly,2020,4,2023-12-03,112.28,76.63,6.344,33.32,66586,26,False,LOW
RD-20744,MCH-005,Quality Test Bench,QA,2017,7,2024-11-20,142.79,90.04,4.921,43.2,118629,34,False,LOW
RD-20745,MCH-006,Packaging Unit B,Logistics,2016,8,2023-03-29,127.93,83.74,0.851,38.45,74058,32,True,LOW
RD-20746,MCH-007,Hydraulic Press #2,Production,2014,10,2023-12-15,152.63,48.77,8.028,49.29,23636,60,False,MEDIUM
RD-20747,MCH-008,Welding Station Alpha,Production,2021,3,2023-07-27,139.77,68.13,5.423,43.59,16194,15,False,LOW
RD-20748,MCH-009,Cooling Circuit Pump,Utilities,2013,11,2023-03-02,168.95,93.07,3.327,46.89,117900,45,False,MEDIUM
RD-20749,MCH-010,Conveyor System Main,Logistics,2016,8,2024-12-16,117.39,77.42,2.63,44.59,109587,32,False,LOW
RD-20750,MCH-001,Pipe Bending Line A,Production,2018,6,2024-01-31,102.81,61.48,4.112,54.83,139047,24,False,LOW
RD-20751,MCH-002,Hydraulic Press #1,Production,2015,9,2023-06-09,122.94,95.81,7.125,37.1,197584,65,True,MEDIUM
RD-20752,MCH-003,CNC Lathe Station 3,Machining,2019,5,2024-07-27,143.45,73.51,2.609,46.91,94814,20,False,LOW
RD-20753,MCH-004,Valve Assembly Robot,Assembly,2020,4,2023-01-29,104.72,103.35,4.342,49.48,23412,38,True,LOW
RD-20754,MCH-005,Quality Test Bench,QA,2017,7,2023-08-22,104.61,54.48,0.169,38.17,117093,28,False,LOW
RD-20755,MCH-006,Packaging Unit B,Logistics,2016,8,2023-02-26,94.52,88.87,3.861,26.62,51681,39,False,LOW
RD-20756,MCH-007,Hydraulic Press #2,Production,2014,10,2023-08-21,138.49,70.68,8.314,42.72,58600,62,True,MEDIUM
RD-20757,MCH-008,Welding Station Alpha,Production,2021,3,2023-09-26,72.55,62.19,4.404,46.99,82730,25,False,LOW
RD-20758,MCH-009,Cooling Circuit Pump,Utilities,2013,11,2024-02-05,102.61,36.73,3.879,35.53,184484,36,False,LOW
RD-20759,MCH-010,Conveyor System Main,Logistics,2016,8,2024-10-20,101.74,83.63,1.854,44.84,125436,32,False,LOW
RD-20760,MCH-001,Pipe Bending Line A,Production,2018,6,2024-07-21,162.45,87.43,1.265,42.47,135843,26,False,LOW
RD-20761,MCH-002,Hydraulic Press #1,Production,2015,9,2024-08-07,89.7,87.24,7.474,42.92,87068,63,True,MEDIUM
RD-20762,MCH-003,CNC Lathe Station 3,Machining,2019,5,2023-10-04,102.76,63.63,4.185,54.62,52460,20,False,LOW
RD-20763,MCH-004,Valve Assembly Robot,Assembly,2020,4,2023-08-16,117.01,54.93,4.196,50.74,52216,16,False,LOW
RD-20764,MCH-005,Quality Test Bench,QA,2017,7,2023-09-21,144.42,68.09,2.797,45.31,61887,28,False,LOW
RD-20765,MCH-006,Packaging Unit B,Logistics,2016,8,2024-04-24,120.33,78.5,2.818,46.94,105816,32,False,LOW
RD-20766,MCH-007,Hydraulic Press #2,Production,2014,10,2024-09-28,110.67,86.97,3.975,37.24,68312,38,True,LOW
RD-20767,MCH-008,Welding Station Alpha,Production,2021,3,2023-02-11,138.15,58.85,3.842,45.59,30592,12,False,LOW
RD-20768,MCH-009,Cooling Circuit Pump,Utilities,2013,11,2023-08-23,76.16,60.5,0.814,49.04,69356,47,False,MEDIUM
RD-20769,MCH-010,Conveyor System Main,Logistics,2016,8,2024-05-03,128.5,80.75,0.411,36.82,70293,32,False,LOW
RD-20770,MCH-001,Pipe Bending Line A,Production,2018,6,2024-12-17,112.96,80.22,5.841,38.61,28209,30,False,LOW
RD-20771,MCH-002,Hydraulic Press #1,Production,2015,9,2023-10-19,160.38,68.43,11.01,46.21,169488,84,False,HIGH
RD-20772,MCH-003,CNC Lathe Station 3,Machining,2019,5,2023-10-20,74.87,100.71,7.008,38.89,15624,67,False,MEDIUM
RD-20773,MCH-004,Valve Assembly Robot,Assembly,2020,4,2024-09-25,101.75,48.32,3.079,43.88,62000,16,False,LOW
RD-20774,MCH-005,Quality Test Bench,QA,2017,7,2024-07-05,144.8,60.57,6.187,34.79,41589,37,False,LOW
RD-20775,MCH-006,Packaging Unit B,Logistics,2016,8,2023-01-17,86.2,107.33,6.352,29.62,90573,76,False,HIGH
RD-20776,MCH-007,Hydraulic Press #2,Production,2014,10,2024-09-25,154.36,61.12,4.081,51.52,143796,36,False,LOW
RD-20777,MCH-008,Welding Station Alpha,Production,2021,3,2024-01-13,122.94,53.86,4.326,39.18,16364,12,False,LOW
RD-20778,MCH-009,Cooling Circuit Pump,Utilities,2013,11,2024-04-13,137.84,107.36,7.023,50.42,25092,79,False,HIGH
RD-20779,MCH-010,Conveyor System Main,Logistics,2016,8,2024-08-09,132.16,65.55,2.167,51.58,104712,32,True,LOW
RD-20780,MCH-001,Pipe Bending Line A,Production,2018,6,2023-02-02,120.12,90.12,1.175,59.24,43755,30,False,LOW
RD-20781,MCH-002,Hydraulic Press #1,Production,2015,9,2023-06-16,148.79,47.54,1.397,52.19,31096,36,False,LOW
RD-20782,MCH-003,CNC Lathe Station 3,Machining,2019,5,2024-07-22,134.37,78.57,3.523,36.2,73538,20,False,LOW
RD-20783,MCH-004,Valve Assembly Robot,Assembly,2020,4,2023-02-19,109.18,83.34,6.021,42.29,75364,24,True,LOW
RD-20784,MCH-005,Quality Test Bench,QA,2017,7,2023-04-20,131.01,43.76,0.67,52.4,45573,28,False,LOW
RD-20785,MCH-006,Packaging Unit B,Logistics,2016,8,2024-05-18,89.36,106.63,8.092,44.18,143628,88,True,HIGH
RD-20786,MCH-007,Hydraulic Press #2,Production,2014,10,2024-07-30,123.25,70.72,4.607,46.1,70852,36,False,LOW
RD-20787,MCH-008,Welding Station Alpha,Production,2021,3,2023-09-12,112.62,89.62,4.658,43.33,44748,17,False,LOW
RD-20788,MCH-009,Cooling Circuit Pump,Utilities,2013,11,2023-06-20,158.55,53.1,2.186,32.39,85360,36,False,LOW
RD-20789,MCH-010,Conveyor System Main,Logistics,2016,8,2024-03-10,82.55,42.44,3.32,36.06,72228,40,True,MEDIUM
RD-20790,MCH-001,Pipe Bending Line A,Production,2018,6,2023-07-29,117.51,57.54,3.669,37.8,52401,24,False,LOW
RD-20791,MCH-002,Hydraulic Press #1,Production,2015,9,2024-06-07,102.58,50.71,6.934,61.2,196292,51,False,MEDIUM
RD-20792,MCH-003,CNC Lathe Station 3,Machining,2019,5,2024-11-23,95.09,73.54,4.571,44.18,25468,22,False,LOW
RD-20793,MCH-004,Valve Assembly Robot,Assembly,2020,4,2024-08-20,95.91,59.19,3.674,53.25,71592,18,False,LOW
RD-20794,MCH-005,Quality Test Bench,QA,2017,7,2023-07-03,95.58,80.08,1.363,38.12,58806,30,False,LOW
RD-20795,MCH-006,Packaging Unit B,Logistics,2016,8,2023-12-23,128.73,77.3,2.069,57.71,46098,32,False,LOW
RD-20796,MCH-007,Hydraulic Press #2,Production,2014,10,2023-07-29,148.74,77.47,7.598,42.13,32740,56,False,MEDIUM
RD-20797,MCH-008,Welding Station Alpha,Production,2021,3,2023-07-24,138.5,56.69,5.463,52.48,53178,15,False,LOW
RD-20798,MCH-009,Cooling Circuit Pump,Utilities,2013,11,2024-11-07,85.04,63.0,4.937,38.66,77820,43,True,MEDIUM
RD-20799,MCH-010,Conveyor System Main,Logistics,2016,8,2024-02-03,126.07,79.44,2.976,52.83,89415,32,False,LOW
RD-20800,MCH-001,Pipe Bending Line A,Production,2018,6,2023-02-24,144.08,88.28,5.386,37.5,105801,31,False,LOW
RD-20801,MCH-002,Hydraulic Press #1,Production,2015,9,2023-12-26,132.6,58.13,0.344,45.38,50200,36,False,LOW
RD-20802,MCH-003,CNC Lathe Station 3,Machining,2019,5,2024-06-02,85.93,83.55,6.064,42.85,99708,35,True,LOW
RD-20803,MCH-004,Valve Assembly Robot,Assembly,2020,4,2024-01-09,119.26,89.99,3.083,50.02,45914,21,True,LOW
RD-20804,MCH-005,Quality Test Bench,QA,2017,7,2023-12-15,105.13,83.08,0.365,46.19,126426,28,True,LOW
RD-20805,MCH-006,Packaging Unit B,Logistics,2016,8,2024-11-09,117.48,79.82,5.077,46.82,30153,32,False,LOW
RD-20806,MCH-007,Hydraulic Press #2,Production,2014,10,2023-11-09,119.27,49.46,2.039,26.83,50796,36,False,LOW
RD-20807,MCH-008,Welding Station Alpha,Production,2021,3,2023-06-22,121.78,87.91,3.734,50.72,99890,15,False,LOW
RD-20808,MCH-009,Cooling Circuit Pump,Utilities,2013,11,2023-04-28,169.06,56.29,6.751,45.76,38232,50,False,MEDIUM
RD-20809,MCH-010,Conveyor System Main,Logistics,2016,8,2024-10-09,112.57,46.24,0.247,38.42,111942,32,False,LOW
RD-20810,MCH-001,Pipe Bending Line A,Production,2018,6,2023-02-13,134.26,76.37,4.118,40.29,127998,24,False,LOW
RD-20811,MCH-002,Hydraulic Press #1,Production,2015,9,2023-08-31,148.52,102.58,7.91,32.9,114124,80,True,HIGH
RD-20812,MCH-003,CNC Lathe Station 3,Machining,2019,5,2024-11-09,104.63,56.64,6.127,46.64,76732,29,False,LOW
RD-20813,MCH-004,Valve Assembly Robot,Assembly,2020,4,2023-08-28,129.9,78.68,2.815,47.2,31870,16,False,LOW
RD-20814,MCH-005,Quality Test Bench,QA,2017,7,2024-05-22,137.19,89.66,5.914,46.17,147819,40,False,MEDIUM
RD-20815,MCH-006,Packaging Unit B,Logistics,2016,8,2024-05-02,117.45,66.05,1.993,42.44,26166,32,False,LOW
RD-20816,MCH-007,Hydraulic Press #2,Production,2014,10,2023-10-24,122.18,50.85,5.794,41.39,30392,42,False,MEDIUM
RD-20817,MCH-008,Welding Station Alpha,Production,2021,3,2024-03-29,105.14,78.1,0.929,37.94,14028,12,False,LOW
RD-20818,MCH-009,Cooling Circuit Pump,Utilities,2013,11,2023-04-17,127.38,116.14,1.223,58.43,191592,73,False,HIGH
RD-20819,MCH-010,Conveyor System Main,Logistics,2016,8,2023-05-02,105.26,61.97,0.367,42.63,83040,32,False,LOW
RD-20820,MCH-001,Pipe Bending Line A,Production,2018,6,2023-12-14,122.33,51.04,4.36,30.25,20505,24,True,LOW
RD-20821,MCH-002,Hydraulic Press #1,Production,2015,9,2024-08-04,91.61,63.37,8.751,51.48,154696,70,False,HIGH
RD-20822,MCH-003,CNC Lathe Station 3,Machining,2019,5,2023-01-31,105.64,88.16,2.593,39.28,20602,23,False,LOW
RD-20823,MCH-004,Valve Assembly Robot,Assembly,2020,4,2024-01-11,128.88,99.86,2.112,43.05,95050,33,False,LOW
RD-20824,MCH-005,Quality Test Bench,QA,2017,7,2023-08-15,117.73,84.8,2.325,48.85,113313,28,False,LOW
RD-20825,MCH-006,Packaging Unit B,Logistics,2016,8,2024-08-25,89.37,92.32,3.434,55.97,35142,46,False,MEDIUM
RD-20826,MCH-007,Hydraulic Press #2,Production,2014,10,2024-07-09,106.13,65.27,4.913,43.45,59664,36,True,LOW
RD-20827,MCH-008,Welding Station Alpha,Production,2021,3,2023-03-18,164.92,75.47,1.469,48.47,91776,12,True,LOW
RD-20828,MCH-009,Cooling Circuit Pump,Utilities,2013,11,2023-12-27,108.07,75.35,5.369,50.23,127720,38,False,LOW
RD-20829,MCH-010,Conveyor System Main,Logistics,2016,8,2024-11-13,173.89,83.27,7.137,42.15,133698,49,False,MEDIUM
RD-20830,MCH-001,Pipe Bending Line A,Production,2018,6,2024-01-19,151.21,89.98,3.66,57.07,32709,29,False,LOW
RD-20831,MCH-002,Hydraulic Press #1,Production,2015,9,2024-09-05,129.07,67.76,4.461,46.29,157496,36,False,LOW
RD-20832,MCH-003,CNC Lathe Station 3,Machining,2019,5,2023-05-05,103.81,58.64,6.394,61.91,48270,31,False,LOW
RD-20833,MCH-004,Valve Assembly Robot,Assembly,2020,4,2024-05-10,113.52,67.69,1.327,42.26,32506,16,False,LOW
RD-20834,MCH-005,Quality Test Bench,QA,2017,7,2023-11-18,111.5,87.02,1.084,40.83,141249,30,True,LOW
RD-20835,MCH-006,Packaging Unit B,Logistics,2016,8,2024-01-24,131.05,51.26,1.245,57.67,46899,32,False,LOW
RD-20836,MCH-007,Hydraulic Press #2,Production,2014,10,2023-12-26,135.04,59.07,5.173,55.72,91456,37,False,LOW
RD-20837,MCH-008,Welding Station Alpha,Production,2021,3,2023-07-15,106.28,60.49,0.168,42.38,63730,12,False,LOW
RD-20838,MCH-009,Cooling Circuit Pump,Utilities,2013,11,2024-10-27,138.94,91.88,10.859,54.93,107152,91,False,HIGH
RD-20839,MCH-010,Conveyor System Main,Logistics,2016,8,2023-04-19,141.96,81.77,3.502,52.99,54204,32,False,LOW
RD-20840,MCH-001,Pipe Bending Line A,Production,2018,6,2024-08-13,147.13,123.44,3.67,46.73,129399,70,True,HIGH
RD-20841,MCH-002,Hydraulic Press #1,Production,2015,9,2023-07-22,105.33,89.29,7.604,39.89,84600,61,False,MEDIUM
RD-20842,MCH-003,CNC Lathe Station 3,Machining,2019,5,2024-09-04,116.56,103.29,5.231,54.5,44184,43,False,MEDIUM
RD-20843,MCH-004,Valve Assembly Robot,Assembly,2020,4,2023-02-10,122.72,52.37,5.074,40.81,96882,16,False,LOW
RD-20844,MCH-005,Quality Test Bench,QA,2017,7,2024-07-24,126.41,88.6,4.476,59.4,67974,32,False,LOW
RD-20845,MCH-006,Packaging Unit B,Logistics,2016,8,2024-09-09,130.89,73.36,1.209,35.91,44616,32,True,LOW
RD-20846,MCH-007,Hydraulic Press #2,Production,2014,10,2024-09-10,86.52,57.46,0.099,48.94,199668,42,False,MEDIUM
RD-20847,MCH-008,Welding Station Alpha,Production,2021,3,2024-08-10,110.46,76.4,1.865,43.38,20770,12,False,LOW
RD-20848,MCH-009,Cooling Circuit Pump,Utilities,2013,11,2023-02-24,164.52,82.26,4.939,50.64,135948,36,False,LOW
RD-20849,MCH-010,Conveyor System Main,Logistics,2016,8,2024-03-19,134.09,73.47,2.602,47.37,81606,32,False,LOW
RD-20850,MCH-001,Pipe Bending Line A,Production,2018,6,2024-07-23,114.95,87.9,3.033,46.25,70455,27,True,LOW
RD-20851,MCH-002,Hydraulic Press #1,Production,2015,9,2024-02-23,107.58,85.75,0.808,47.14,135188,36,False,LOW
RD-20852,MCH-003,CNC Lathe Station 3,Machining,2019,5,2024-02-09,114.74,82.87,3.954,48.11,14042,20,False,LOW
RD-20853,MCH-004,Valve Assembly Robot,Assembly,2020,4,2023-07-20,104.3,77.96,2.231,39.44,28418,16,True,LOW
RD-20854,MCH-005,Quality Test Bench,QA,2017,7,2024-03-07,132.05,87.77,7.244,54.39,57903,49,False,MEDIUM
RD-20855,MCH-006,Packaging Unit B,Logistics,2016,8,2024-05-24,134.98,75.81,2.403,31.26,48165,32,False,LOW
RD-20856,MCH-007,Hydraulic Press #2,Production,2014,10,2024-10-03,142.2,71.44,4.571,40.38,169112,36,False,LOW
RD-20857,MCH-008,Welding Station Alpha,Production,2021,3,2024-09-06,136.59,71.04,3.403,47.5,34188,12,False,LOW
RD-20858,MCH-009,Cooling Circuit Pump,Utilities,2013,11,2023-12-13,102.05,76.92,4.923,31.88,94552,36,False,LOW
RD-20859,MCH-010,Conveyor System Main,Logistics,2016,8,2024-04-27,111.94,55.04,4.808,47.47,37194,32,False,LOW
RD-20860,MCH-001,Pipe Bending Line A,Production,2018,6,2024-05-05,102.89,90.49,5.716,36.42,136227,36,False,LOW
RD-20861,MCH-002,Hydraulic Press #1,Production,2015,9,2023-03-15,131.73,120.78,6.51,56.88,179672,91,False,HIGH
RD-20862,MCH-003,CNC Lathe Station 3,Machining,2019,5,2024-08-21,104.38,67.19,1.016,40.93,60864,20,False,LOW
RD-20863,MCH-004,Valve Assembly Robot,Assembly,2020,4,2023-10-28,109.35,72.33,3.764,48.39,81348,16,True,LOW
RD-20864,MCH-005,Quality Test Bench,QA,2017,7,2023-04-06,119.67,64.77,1.605,41.51,101349,28,False,LOW
RD-20865,MCH-006,Packaging Unit B,Logistics,2016,8,2024-08-21,140.91,92.27,5.619,44.91,27270,45,False,MEDIUM
RD-20866,MCH-007,Hydraulic Press #2,Production,2014,10,2024-07-24,83.82,94.04,2.976,35.28,191944,54,False,MEDIUM
RD-20867,MCH-008,Welding Station Alpha,Production,2021,3,2024-02-22,151.68,76.67,3.316,43.82,10978,12,False,LOW
RD-20868,MCH-009,Cooling Circuit Pump,Utilities,2013,11,2024-09-15,129.1,98.14,3.821,49.36,42808,51,False,MEDIUM
RD-20869,MCH-010,Conveyor System Main,Logistics,2016,8,2023-11-02,91.37,73.05,4.118,44.62,26310,36,False,LOW
RD-20870,MCH-001,Pipe Bending Line A,Production,2018,6,2024-01-23,136.23,89.4,5.913,49.68,38217,36,False,LOW
RD-20871,MCH-002,Hydraulic Press #1,Production,2015,9,2023-01-22,151.15,108.8,3.546,37.51,195536,64,True,MEDIUM
RD-20872,MCH-003,CNC Lathe Station 3,Machining,2019,5,2023-08-07,119.58,95.93,0.601,38.19,33710,33,False,LOW
RD-20873,MCH-004,Valve Assembly Robot,Assembly,2020,4,2023-12-02,111.59,67.03,5.847,49.11,12594,22,False,LOW
RD-20874,MCH-005,Quality Test Bench,QA,2017,7,2024-10-08,131.37,52.81,4.828,43.32,137649,28,False,LOW
RD-20875,MCH-006,Packaging Unit B,Logistics,2016,8,2023-08-29,85.38,56.45,9.251,49.77,133041,73,True,HIGH
RD-20876,MCH-007,Hydraulic Press #2,Production,2014,10,2023-10-26,137.19,81.31,6.356,44.95,117740,46,False,MEDIUM
RD-20877,MCH-008,Welding Station Alpha,Production,2021,3,2023-11-26,131.41,72.49,4.162,47.15,80660,12,False,LOW
RD-20878,MCH-009,Cooling Circuit Pump,Utilities,2013,11,2024-01-26,111.6,62.62,4.321,41.39,199816,36,False,LOW
RD-20879,MCH-010,Conveyor System Main,Logistics,2016,8,2024-05-07,110.54,74.51,1.658,54.53,57996,32,False,LOW
RD-20880,MCH-001,Pipe Bending Line A,Production,2018,6,2023-01-05,93.4,94.61,3.268,52.17,142569,38,False,LOW
RD-20881,MCH-002,Hydraulic Press #1,Production,2015,9,2024-11-17,162.46,81.7,4.453,53.37,81712,36,False,LOW
RD-20882,MCH-003,CNC Lathe Station 3,Machining,2019,5,2024-11-29,105.23,85.48,1.478,49.94,49936,20,False,LOW
RD-20883,MCH-004,Valve Assembly Robot,Assembly,2020,4,2024-11-11,137.32,54.75,2.523,65.33,28352,16,True,LOW
RD-20884,MCH-005,Quality Test Bench,QA,2017,7,2024-02-01,123.41,80.38,5.331,48.42,84261,30,False,LOW
RD-20885,MCH-006,Packaging Unit B,Logistics,2016,8,2024-11-27,157.6,115.34,2.367,53.95,59448,68,False,MEDIUM
RD-20886,MCH-007,Hydraulic Press #2,Production,2014,10,2023-04-03,106.61,67.09,7.662,39.72,83212,57,False,MEDIUM
RD-20887,MCH-008,Welding Station Alpha,Production,2021,3,2023-01-30,106.04,79.02,3.768,51.44,42440,12,False,LOW
RD-20888,MCH-009,Cooling Circuit Pump,Utilities,2013,11,2023-10-29,151.66,77.0,1.566,40.76,136548,36,False,LOW
RD-20889,MCH-010,Conveyor System Main,Logistics,2016,8,2024-08-21,170.1,68.03,9.976,45.99,38472,71,True,HIGH
RD-20890,MCH-001,Pipe Bending Line A,Production,2018,6,2023-04-19,89.98,96.61,3.791,44.5,137022,42,True,MEDIUM
RD-20891,MCH-002,Hydraulic Press #1,Production,2015,9,2023-07-31,138.41,85.33,5.654,57.62,195528,41,False,MEDIUM
RD-20892,MCH-003,CNC Lathe Station 3,Machining,2019,5,2024-11-13,97.54,101.68,2.977,42.69,98572,41,True,MEDIUM
RD-20893,MCH-004,Valve Assembly Robot,Assembly,2020,4,2023-11-08,104.81,86.0,4.86,52.32,43036,17,False,LOW
RD-20894,MCH-005,Quality Test Bench,QA,2017,7,2024-10-21,132.93,86.8,4.936,35.73,45696,30,False,LOW
RD-20895,MCH-006,Packaging Unit B,Logistics,2016,8,2024-08-18,160.97,85.43,5.286,53.13,22983,34,False,LOW
RD-20896,MCH-007,Hydraulic Press #2,Production,2014,10,2023-08-20,137.6,73.05,2.159,39.44,145632,36,True,LOW
RD-20897,MCH-008,Welding Station Alpha,Production,2021,3,2024-09-05,121.65,83.39,1.806,36.7,68700,12,False,LOW
RD-20898,MCH-009,Cooling Circuit Pump,Utilities,2013,11,2023-12-31,129.36,96.58,0.249,54.93,168324,49,False,MEDIUM
RD-20899,MCH-010,Conveyor System Main,Logistics,2016,8,2024-10-11,138.18,78.12,2.031,52.24,98406,32,False,LOW
RD-20900,MCH-001,Pipe Bending Line A,Production,2018,6,2023-07-02,88.79,47.55,6.016,50.16,138030,37,False,LOW
RD-20901,MCH-002,Hydraulic Press #1,Production,2015,9,2024-01-12,106.12,115.99,0.44,39.85,102568,73,True,HIGH
RD-20902,MCH-003,CNC Lathe Station 3,Machining,2019,5,2024-07-22,109.25,66.64,1.515,55.3,15772,20,False,LOW
RD-20903,MCH-004,Valve Assembly Robot,Assembly,2020,4,2023-03-04,103.34,71.81,1.653,46.5,28658,16,False,LOW
RD-20904,MCH-005,Quality Test Bench,QA,2017,7,2024-01-15,123.79,53.39,4.612,46.95,96399,28,False,LOW
RD-20905,MCH-006,Packaging Unit B,Logistics,2016,8,2023-09-14,136.57,84.59,1.799,49.51,72441,32,True,LOW
RD-20906,MCH-007,Hydraulic Press #2,Production,2014,10,2023-02-20,116.19,95.21,1.118,38.48,63328,48,True,MEDIUM
RD-20907,MCH-008,Welding Station Alpha,Production,2021,3,2024-06-25,126.87,76.12,3.865,39.31,10386,12,False,LOW
RD-20908,MCH-009,Cooling Circuit Pump,Utilities,2013,11,2023-04-06,128.86,81.22,1.848,48.36,148968,36,True,LOW
RD-20909,MCH-010,Conveyor System Main,Logistics,2016,8,2024-12-26,151.85,66.16,1.9,49.0,96495,32,False,LOW
RD-20910,MCH-001,Pipe Bending Line A,Production,2018,6,2024-09-02,132.71,83.91,0.019,59.98,69642,24,False,LOW
RD-20911,MCH-002,Hydraulic Press #1,Production,2015,9,2023-08-12,139.65,90.16,7.745,40.63,117576,64,False,MEDIUM
RD-20912,MCH-003,CNC Lathe Station 3,Machining,2019,5,2024-07-12,108.51,77.92,4.32,36.87,32098,20,False,LOW
RD-20913,MCH-004,Valve Assembly Robot,Assembly,2020,4,2023-10-29,98.92,67.66,2.69,56.42,95872,16,False,LOW
RD-20914,MCH-005,Quality Test Bench,QA,2017,7,2024-03-14,117.93,44.94,2.633,35.22,89514,28,False,LOW
RD-20915,MCH-006,Packaging Unit B,Logistics,2016,8,2023-08-10,139.99,47.03,2.929,32.95,98865,32,False,LOW
RD-20916,MCH-007,Hydraulic Press #2,Production,2014,10,2024-11-01,114.16,78.96,2.326,26.55,22540,36,True,LOW
RD-20917,MCH-008,Welding Station Alpha,Production,2021,3,2024-03-03,91.03,85.96,4.937,44.13,67738,17,False,LOW
RD-20918,MCH-009,Cooling Circuit Pump,Utilities,2013,11,2023-01-07,124.22,84.81,8.042,29.29,78712,60,False,MEDIUM
RD-20919,MCH-010,Conveyor System Main,Logistics,2016,8,2024-09-11,130.34,60.29,1.026,48.36,67149,32,False,LOW
RD-20920,MCH-001,Pipe Bending Line A,Production,2018,6,2024-01-20,138.16,63.3,5.72,39.24,59610,29,False,LOW
RD-20921,MCH-002,Hydraulic Press #1,Production,2015,9,2024-10-17,102.98,58.69,1.352,50.76,148200,36,False,LOW
RD-20922,MCH-003,CNC Lathe Station 3,Machining,2019,5,2024-09-30,135.74,98.51,1.289,50.79,28056,36,False,LOW
RD-20923,MCH-004,Valve Assembly Robot,Assembly,2020,4,2024-07-17,138.36,96.64,4.012,43.68,42198,29,False,LOW
RD-20924,MCH-005,Quality Test Bench,QA,2017,7,2023-02-21,109.45,62.45,0.455,40.24,112677,28,False,LOW
RD-20925,MCH-006,Packaging Unit B,Logistics,2016,8,2023-03-22,73.99,72.21,1.548,35.05,119238,45,True,MEDIUM
RD-20926,MCH-007,Hydraulic Press #2,Production,2014,10,2024-09-06,130.41,95.03,1.084,43.14,37136,48,False,MEDIUM
RD-20927,MCH-008,Welding Station Alpha,Production,2021,3,2024-06-11,112.31,65.47,3.724,42.36,37368,12,False,LOW
RD-20928,MCH-009,Cooling Circuit Pump,Utilities,2013,11,2023-10-03,106.57,85.33,0.726,56.55,112264,36,False,LOW
RD-20929,MCH-010,Conveyor System Main,Logistics,2016,8,2023-03-26,92.68,74.7,0.278,45.64,29256,35,False,LOW
RD-20930,MCH-001,Pipe Bending Line A,Production,2018,6,2023-03-29,129.78,51.94,3.396,49.02,135867,24,False,LOW
RD-20931,MCH-002,Hydraulic Press #1,Production,2015,9,2024-08-22,102.13,74.95,8.743,34.19,96828,65,False,MEDIUM
RD-20932,MCH-003,CNC Lathe Station 3,Machining,2019,5,2024-07-07,140.86,41.24,2.796,38.87,40446,20,False,LOW
RD-20933,MCH-004,Valve Assembly Robot,Assembly,2020,4,2024-02-06,109.36,61.62,3.375,47.52,88700,16,False,LOW
RD-20934,MCH-005,Quality Test Bench,QA,2017,7,2024-01-21,128.31,71.53,3.063,42.14,100686,28,False,LOW
